ENSMUSG00000000001.4
ENSMUSG00000000028.14
ENSMUSG00000000037.16
ENSMUSG00000000049.11
ENSMUSG00000000056.7
ENSMUSG00000000058.6
ENSMUSG00000000078.6
ENSMUSG00000000094.12
ENSMUSG00000000103.12
ENSMUSG00000000127.14
ENSMUSG00000000134.17
ENSMUSG00000000142.15
ENSMUSG00000000148.17
ENSMUSG00000000149.10
ENSMUSG00000000159.15
ENSMUSG00000000167.14
ENSMUSG00000000168.9
ENSMUSG00000000171.4
ENSMUSG00000000184.12
ENSMUSG00000000197.7
ENSMUSG00000000215.11
ENSMUSG00000000216.8
ENSMUSG00000000247.11
ENSMUSG00000000266.11
ENSMUSG00000000278.10
ENSMUSG00000000282.12
ENSMUSG00000000290.13
ENSMUSG00000000295.12
ENSMUSG00000000296.7
ENSMUSG00000000305.12
ENSMUSG00000000317.11
ENSMUSG00000000320.10
ENSMUSG00000000339.14
ENSMUSG00000000340.10
ENSMUSG00000000346.8
ENSMUSG00000000355.13
ENSMUSG00000000359.3
ENSMUSG00000000365.8
ENSMUSG00000000374.7
ENSMUSG00000000384.15
ENSMUSG00000000392.17
ENSMUSG00000000409.14
ENSMUSG00000000411.7
ENSMUSG00000000416.16
ENSMUSG00000000420.15
ENSMUSG00000000441.17
ENSMUSG00000000532.10
ENSMUSG00000000538.18
ENSMUSG00000000562.5
ENSMUSG00000000563.17
ENSMUSG00000000567.5
ENSMUSG00000000568.15
ENSMUSG00000000581.8
ENSMUSG00000000600.15
ENSMUSG00000000605.9
ENSMUSG00000000628.10
ENSMUSG00000000631.20
ENSMUSG00000000632.13
ENSMUSG00000000708.14
ENSMUSG00000000711.2
ENSMUSG00000000724.10
ENSMUSG00000000738.17
ENSMUSG00000000739.13
ENSMUSG00000000751.13
ENSMUSG00000000759.14
ENSMUSG00000000766.18
ENSMUSG00000000776.12
ENSMUSG00000000782.15
ENSMUSG00000000787.12
ENSMUSG00000000794.9
ENSMUSG00000000804.14
ENSMUSG00000000805.18
ENSMUSG00000000811.13
ENSMUSG00000000817.10
ENSMUSG00000000823.16
ENSMUSG00000000826.16
ENSMUSG00000000827.18
ENSMUSG00000000838.17
ENSMUSG00000000876.11
ENSMUSG00000000881.12
ENSMUSG00000000901.15
ENSMUSG00000000916.15
ENSMUSG00000000934.8
ENSMUSG00000000957.9
ENSMUSG00000000976.13
ENSMUSG00000001016.12
ENSMUSG00000001017.15
ENSMUSG00000001018.15
ENSMUSG00000001025.8
ENSMUSG00000001029.15
ENSMUSG00000001034.17
ENSMUSG00000001036.17
ENSMUSG00000001052.15
ENSMUSG00000001056.3
ENSMUSG00000001065.14
ENSMUSG00000001089.14
ENSMUSG00000001098.15
ENSMUSG00000001105.15
ENSMUSG00000001127.12
ENSMUSG00000001128.7
ENSMUSG00000001131.11
ENSMUSG00000001150.6
ENSMUSG00000001151.9
ENSMUSG00000001156.9
ENSMUSG00000001158.13
ENSMUSG00000001173.15
ENSMUSG00000001175.13
ENSMUSG00000001211.14
ENSMUSG00000001225.12
ENSMUSG00000001227.11
ENSMUSG00000001228.14
ENSMUSG00000001247.16
ENSMUSG00000001280.12
ENSMUSG00000001288.14
ENSMUSG00000001289.12
ENSMUSG00000001300.16
ENSMUSG00000001305.5
ENSMUSG00000001323.17
ENSMUSG00000001333.9
ENSMUSG00000001348.14
ENSMUSG00000001376.17
ENSMUSG00000001383.8
ENSMUSG00000001403.13
ENSMUSG00000001415.10
ENSMUSG00000001418.13
ENSMUSG00000001419.17
ENSMUSG00000001420.13
ENSMUSG00000001424.14
ENSMUSG00000001436.15
ENSMUSG00000001440.5
ENSMUSG00000001441.13
ENSMUSG00000001467.5
ENSMUSG00000001482.14
ENSMUSG00000001493.9
ENSMUSG00000001504.10
ENSMUSG00000001507.16
ENSMUSG00000001518.12
ENSMUSG00000001521.12
ENSMUSG00000001524.14
ENSMUSG00000001525.10
ENSMUSG00000001542.6
ENSMUSG00000001552.14
ENSMUSG00000001555.10
ENSMUSG00000001566.9
ENSMUSG00000001569.10
ENSMUSG00000001576.14
ENSMUSG00000001588.12
ENSMUSG00000001627.11
ENSMUSG00000001630.13
ENSMUSG00000001632.16
ENSMUSG00000001663.10
ENSMUSG00000001665.10
ENSMUSG00000001674.11
ENSMUSG00000001687.15
ENSMUSG00000001729.14
ENSMUSG00000001741.12
ENSMUSG00000001750.15
ENSMUSG00000001761.7
ENSMUSG00000001763.14
ENSMUSG00000001767.5
ENSMUSG00000001768.15
ENSMUSG00000001774.7
ENSMUSG00000001783.3
ENSMUSG00000001785.11
ENSMUSG00000001786.14
ENSMUSG00000001794.13
ENSMUSG00000001833.16
ENSMUSG00000001847.14
ENSMUSG00000001864.13
ENSMUSG00000001870.15
ENSMUSG00000001891.16
ENSMUSG00000001909.15
ENSMUSG00000001910.4
ENSMUSG00000001924.15
ENSMUSG00000001930.17
ENSMUSG00000001942.7
ENSMUSG00000001946.13
ENSMUSG00000001948.9
ENSMUSG00000001962.8
ENSMUSG00000001964.14
ENSMUSG00000001983.7
ENSMUSG00000001995.8
ENSMUSG00000001998.15
ENSMUSG00000002006.12
ENSMUSG00000002014.12
ENSMUSG00000002015.5
ENSMUSG00000002017.9
ENSMUSG00000002020.15
ENSMUSG00000002028.12
ENSMUSG00000002031.11
ENSMUSG00000002052.6
ENSMUSG00000002057.4
ENSMUSG00000002058.13
ENSMUSG00000002059.18
ENSMUSG00000002076.11
ENSMUSG00000002083.13
ENSMUSG00000002105.15
ENSMUSG00000002107.18
ENSMUSG00000002109.14
ENSMUSG00000002129.11
ENSMUSG00000002147.18
ENSMUSG00000002190.13
ENSMUSG00000002204.9
ENSMUSG00000002205.16
ENSMUSG00000002221.11
ENSMUSG00000002222.14
ENSMUSG00000002227.15
ENSMUSG00000002233.13
ENSMUSG00000002240.12
ENSMUSG00000002249.17
ENSMUSG00000002250.15
ENSMUSG00000002257.7
ENSMUSG00000002265.16
ENSMUSG00000002274.12
ENSMUSG00000002297.15
ENSMUSG00000002307.15
ENSMUSG00000002320.15
ENSMUSG00000002324.7
ENSMUSG00000002325.14
ENSMUSG00000002341.8
ENSMUSG00000002342.17
ENSMUSG00000002345.17
ENSMUSG00000002365.9
ENSMUSG00000002372.8
ENSMUSG00000002393.14
ENSMUSG00000002413.15
ENSMUSG00000002428.12
ENSMUSG00000002455.14
ENSMUSG00000002458.13
ENSMUSG00000002475.15
ENSMUSG00000002477.4
ENSMUSG00000002504.14
ENSMUSG00000002546.16
ENSMUSG00000002565.16
ENSMUSG00000002578.15
ENSMUSG00000002580.7
ENSMUSG00000002588.12
ENSMUSG00000002602.16
ENSMUSG00000002603.15
ENSMUSG00000002617.14
ENSMUSG00000002625.9
ENSMUSG00000002635.11
ENSMUSG00000002658.9
ENSMUSG00000002660.7
ENSMUSG00000002664.2
ENSMUSG00000002679.14
ENSMUSG00000002688.7
ENSMUSG00000002699.13
ENSMUSG00000002718.14
ENSMUSG00000002728.14
ENSMUSG00000002732.14
ENSMUSG00000002733.8
ENSMUSG00000002748.7
ENSMUSG00000002778.14
ENSMUSG00000002797.9
ENSMUSG00000002799.5
ENSMUSG00000002808.6
ENSMUSG00000002812.4
ENSMUSG00000002814.15
ENSMUSG00000002825.6
ENSMUSG00000002845.14
ENSMUSG00000002846.9
ENSMUSG00000002847.6
ENSMUSG00000002870.8
ENSMUSG00000002871.14
ENSMUSG00000002881.14
ENSMUSG00000002885.14
ENSMUSG00000002897.5
ENSMUSG00000002900.15
ENSMUSG00000002948.19
ENSMUSG00000002949.15
ENSMUSG00000002957.11
ENSMUSG00000002968.8
ENSMUSG00000002983.17
ENSMUSG00000002984.17
ENSMUSG00000002996.17
ENSMUSG00000002997.15
ENSMUSG00000003031.14
ENSMUSG00000003032.8
ENSMUSG00000003037.16
ENSMUSG00000003038.15
ENSMUSG00000003039.8
ENSMUSG00000003053.17
ENSMUSG00000003070.6
ENSMUSG00000003119.14
ENSMUSG00000003131.6
ENSMUSG00000003135.15
ENSMUSG00000003154.15
ENSMUSG00000003161.15
ENSMUSG00000003184.15
ENSMUSG00000003199.16
ENSMUSG00000003226.6
ENSMUSG00000003228.8
ENSMUSG00000003233.11
ENSMUSG00000003234.15
ENSMUSG00000003271.17
ENSMUSG00000003273.14
ENSMUSG00000003282.9
ENSMUSG00000003283.13
ENSMUSG00000003316.14
ENSMUSG00000003345.15
ENSMUSG00000003352.13
ENSMUSG00000003360.14
ENSMUSG00000003363.15
ENSMUSG00000003378.9
ENSMUSG00000003379.7
ENSMUSG00000003382.18
ENSMUSG00000003402.13
ENSMUSG00000003418.11
